name,github_id,status
Eric Nantz,rpodcast,current
Jonathan Carroll,jonocarroll,current
Sam Parmar,parmsam,current
Colin Fay,ColinFay,current
Ryo Nakagawara,Ryo-N7,current
Jonathan Kitt,KittJonathan,current
Jon Calder,jonmcalder,current
Batool Almarzouq,BatoolMM,current
Maelle Salmon,maelle,past
Tony Elhabr,tonyelhabr,past
Kelly Bodwin,kbodwin,past
Miles McBain,MilesMcBain,past
Robert Hickman,RobWHickman,past
Wolfram Qin,qinwf,past
Emily Robinson,earobinson95,past
