"file","date","display_name","url","identity","canonical"
"2024-09-29-2024-W40.md","2024-09-29","Tony ElHabr","https://tonyelhabr.rbind.io/","host:tonyelhabr.rbind.io","Tony ElHabr"
"2024-10-07-2024-W41.md","2024-10-07","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2024-10-14-2024-W42.md","2024-10-14","Eric Nantz","https://podcastindex.social/@rpodcast","masto:rpodcast","Eric Nantz"
"2024-10-21-2024-W43.md","2024-10-21","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2024-10-28-2024-W44.md","2024-10-28","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2024-11-05-2024-W45.md","2024-11-05","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2024-11-12-2024-W46.md","2024-11-12","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2024-11-18-2024-W47.md","2024-11-18","Jon Calder","https://fosstodon.org/@jonmcalder","masto:jonmcalder","Jon Calder"
"2024-11-25-2024-W48.md","2024-11-25","Tony ElHabr","https://tonyelhabr.rbind.io/","host:tonyelhabr.rbind.io","Tony ElHabr"
"2024-12-02-2024-W49.md","2024-12-02","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2024-12-09-2024-W50.md","2024-12-09","Eric Nantz","https://podcastindex.social/@rpodcast","masto:rpodcast","Eric Nantz"
"2024-12-16-2024-W51.md","2024-12-16","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2024-12-23-2024-W52.md","2024-12-23","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2025-01-13-2025-W03.md","2025-01-13","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2025-01-21-2025-W04.md","2025-01-21","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2025-01-28-2025-W05.md","2025-01-28","Jon Calder","https://fosstodon.org/@jonmcalder","masto:jonmcalder","Jon Calder"
"2025-02-03-2025-W06.md","2025-02-03","Jonathan Kitt","https://bsky.app/profile/jonathankitt.bsky.social","bsky:jonathankitt","Jonathan Kitt"
"2025-02-10-2025-W07.md","2025-02-10","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2025-02-16-2025-W08.md","2025-02-16","Eric Nantz","https://bsky.app/profile/rpodcast.bsky.social","bsky:rpodcast","Eric Nantz"
"2025-02-24-2025-W09.md","2025-02-24","Colin Fay","https://colinfay.me/","host:colinfay.me","Colin Fay"
"2025-03-03-2025-W10.md","2025-03-03","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2025-03-10-2025-W11.md","2025-03-10","Batool Almaarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
"2025-03-17-2025-W12.md","2025-03-17","Ryo Nakagawara","https://bsky.app/profile/rbyryo.bsky.social","bsky:rbyryo","Ryo Nakagawara"
"2025-03-31-2025-W14.md","2025-03-31","Jon Calder","https://fosstodon.org/@jonmcalder","masto:jonmcalder","Jon Calder"
"2025-04-07-2025-W15.md","2025-04-07","Jonathan Carroll","https://fosstodon.org/@jonocarroll","masto:jonocarroll","Jonathan Carroll"
"2025-04-14-2025-W16.md","2025-04-14","Eric Nantz","https://podcastindex.social/@rpodcast","masto:rpodcast","Eric Nantz"
"2025-04-21-2025-W17.md","2025-04-21","Colin Fay","https://colinfay.me","host:colinfay.me","Colin Fay"
"2025-04-28-2025-W18.md","2025-04-28","Sam Parmar","https://github.com/parmsam","github:parmsam","Sam Parmar"
"2025-05-06-2025-W19.md","2025-05-06","Batool Almarzouq","https://batool-almarzouq.netlify.app/","host:batool-almarzouq.netlify.app","Batool Almarzouq"
